PLAYER_NAME,SEASON_1,ERA,cluster,PC1,PC2,rim_share,paint_share,mid_share,lc3_share,rc3_share,atb3_share
Tayshaun Prince,2006,pre,4,-0.03209866773151626,-1.1228974838326233,0.2905811623246493,0.11723446893787576,0.41082164328657317,0.056112224448897796,0.047094188376753505,0.0781563126252505
Maurice Taylor,2005,pre,4,-1.865266087722807,-1.5142136228224166,0.33183856502242154,0.18161434977578475,0.46860986547085204,0.006726457399103139,0.0,0.011210762331838564
Beno Udrih,2005,pre,3,1.2268286374901938,-0.5628625413233859,0.22938144329896906,0.1056701030927835,0.3118556701030928,0.07731958762886598,0.07474226804123711,0.20103092783505155
Brad Miller,2007,pre,4,-1.1674195528928788,-2.7706238492824875,0.2413793103448276,0.09330628803245436,0.6004056795131846,0.008113590263691683,0.006085192697768763,0.05070993914807302
Jonas Valanciunas,2013,pre,1,-2.5750303324195505,0.8135972052956265,0.5409836065573771,0.25956284153005466,0.1994535519125683,0.0,0.0,0.0
Patrick Beverley,2015,post,2,3.068273039497549,1.2411397428552857,0.20112781954887218,0.12969924812030076,0.06203007518796992,0.14473684210526316,0.10338345864661654,0.35902255639097747
Derrick Jones Jr.,2024,post,2,2.845500879431177,2.1663706151524815,0.3797979797979798,0.12121212121212122,0.01616161616161616,0.15151515151515152,0.14747474747474748,0.18383838383838383
Kyle Kuzma,2023,post,0,0.5824038799606117,0.9429077575451768,0.24890061565523308,0.23306948109058928,0.09938434476693052,0.06684256816182937,0.04133685136323659,0.31046613896218117
Christian Laettner,2004,pre,4,-1.1611138561324985,-2.6665369662448706,0.2823529411764706,0.06274509803921569,0.5764705882352941,0.0,0.00392156862745098,0.07450980392156863
Kristaps Porzingis,2017,post,0,-0.21671609776906472,-0.6777206725173501,0.22538071065989848,0.16954314720812183,0.2862944162436548,0.017258883248730966,0.019289340101522844,0.28223350253807106
Derek Fisher,2007,pre,4,0.07731092682278545,-1.7639111691603166,0.2600297176820208,0.05943536404160475,0.45022288261515603,0.041604754829123326,0.02674591381872214,0.16196136701337296
Chris Paul,2006,pre,4,-1.0376662974337423,-0.5103006552204635,0.35978835978835977,0.15555555555555556,0.29947089947089944,0.015873015873015872,0.004232804232804233,0.16507936507936508
David West,2016,post,4,-1.9763136760347049,-1.6491809125843373,0.2767857142857143,0.22098214285714285,0.48660714285714285,0.002232142857142857,0.0,0.013392857142857142
Yogi Ferrell,2018,post,3,1.2173999746222295,-0.6311332165543487,0.1700960219478738,0.09739368998628258,0.24142661179698216,0.04801097393689986,0.03429355281207133,0.40877914951989025
Jerian Grant,2017,post,3,1.2543757807542755,-0.5338719528566036,0.19666666666666666,0.1,0.26,0.04,0.07,0.3333333333333333
Shareef Abdur-Rahim,2005,pre,4,-1.8017434794585863,-0.23278105220559187,0.4388059701492537,0.19402985074626866,0.30895522388059704,0.013432835820895522,0.004477611940298508,0.04029850746268657
Matt Barnes,2013,pre,2,2.210755731202497,1.2302353119519527,0.36444444444444446,0.07111111111111111,0.08296296296296296,0.09037037037037036,0.12,0.27111111111111114
Cartier Martin,2013,pre,3,2.722455857839587,-0.8725908626867166,0.10317460317460317,0.03571428571428571,0.28174603174603174,0.05952380952380952,0.1111111111111111,0.4087301587301587
Omri Casspi,2010,pre,0,0.07942869479381146,0.07163359163640454,0.2880597014925373,0.18208955223880596,0.2298507462686567,0.034328358208955224,0.05522388059701493,0.21044776119402986
Jeff Teague,2015,post,0,-1.051984662362795,0.7431662198502497,0.4092446448703495,0.21420518602029312,0.14317925591882752,0.015783540022547914,0.012401352874859075,0.20518602029312288
Cory Joseph,2023,post,0,1.057054172997067,0.3229959634803206,0.14814814814814814,0.20512820512820512,0.13675213675213677,0.037037037037037035,0.05698005698005698,0.41595441595441596
Ersan Ilyasova,2012,pre,4,-0.8696295361402337,-0.4251861571039261,0.43288590604026844,0.09395973154362416,0.28691275167785235,0.01174496644295302,0.013422818791946308,0.1610738255033557
Jevon Carter,2024,post,3,2.65980064661391,-0.14695429512842512,0.054945054945054944,0.12637362637362637,0.17857142857142858,0.10164835164835165,0.06593406593406594,0.4725274725274725
Willie Reed,2017,post,1,-2.5168437331788773,1.3601823214219269,0.6421052631578947,0.21754385964912282,0.12631578947368421,0.0,0.0,0.014035087719298246
Wesley Matthews,2019,post,3,1.7374627379844814,0.374691394017544,0.14634146341463414,0.15925394548063126,0.11764705882352941,0.07173601147776183,0.05021520803443329,0.45480631276901007
