feature,PC1,PC2,PC3,PC4,PC5
rim_share,-0.39191482524450116,0.4692871381127883,-0.5127157830812967,0.17242238124493686,0.012124003250712882
paint_share,-0.353897963598917,0.2765528259661047,0.6485983195826052,-0.5494319606477809,-0.005153634497987295
mid_share,-0.13338286872757016,-0.8048096185849999,-0.14797140742114975,-0.24126451599208876,-0.005798889043244387
lc3_share,0.49563000555414927,0.15831263634052398,-0.19435559878041386,-0.4050022129341248,0.7124378812292633
rc3_share,0.4900978397048553,0.17300597670702378,-0.2198447980917347,-0.4138724734827611,-0.7014182603628883
atb3_share,0.46639362833892056,0.02399240470855807,0.45655380205893537,0.5242797531846787,-0.015411388696670563
